
央视频道,#genre#
CCTV16,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-16_4000.m3u8
CCTV16-4k,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-16-4K_8000.m3u8
CCTV17,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-17_4000.m3u8
CCTV4K,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/ys4Kcq_2000.m3u8
CETV1,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CETV-1H264_4000.m3u8
CETV2,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CETV-2_4000.m3u8
CETV4,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CETV-4H264_2000.m3u8
CHC影迷电影,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8


卫视频道,#genre#
贵州卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/gzwsH265_4000.m3u8
湖南卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/hnwsH265_4000.m3u8
江苏卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/jswsH265_4000.m3u8
北京卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/bjwsH265_4000.m3u8
东方卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/dfwsH265_4000.m3u8
天津卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/tjwsH265_4000.m3u8
重庆卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/cqwsH265_4000.m3u8
黑龙江卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/hljwsH265_4000.m3u8
吉林卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/jlwsH265_4000.m3u8
辽宁卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/lnwsHDH264_4000.m3u8
内蒙古卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/nmgws_4000.m3u8
甘肃卫视,http://A/ku9/py/NP.py?u=http://edge-cache02.live3.omd.sc96655.com/live/gsws_4000.m3u8
